Transaction ID,Day,Month,Year,Day Name,Brand,Units Sold,Price Per Unit,City,Payment Method,Customer Ratings,Mobile Model
26,16,10,2021,Saturday,Samsung,6,26367.63,Delhi,UPI,5,Galaxy Note 20
27,17,10,2021,Sunday,Samsung,4,37813.09,Delhi,Cash,4,Galaxy A51
28,17,10,2021,Sunday,OnePlus,2,63270.28,Vadodara,Debit Card,4,OnePlus 9
29,17,10,2021,Sunday,Xiaomi,1,37307.45,Delhi,Cash,4,Redmi 9
30,18,10,2021,Mon,Vivo,4,43354.72,Delhi,Cash,5,Vivo Y51
31,18,10,2021,Monday,Samsung,4,34238.58,Ludhiana,Debit Card,2,Galaxy Note 20
32,18,10,2021,Monday,Apple,1,37607.03,Mumbai,Credit Card,5,iPhone SE
33,18,10,2021,Monday,Apple,6,10910.45,Rajkot,UPI,3,iPhone SE
34,19,10,2021,Tuesday,OnePlus,4,27024.73,Mumbai,UPI,5,OnePlus 9
35,19,10,2021,Tuesday,Xiaomi,1,36194.9,Kanpur,Debit Card,4,Redmi Note 10
36,19,10,2021,Tuesday,Samsung,1,48027.82,Kolkata,UPI,3,Galaxy S21
37,20,10,2021,Wednesday,Xiaomi,1,37003.12,Coimbatore,Debit Card,3,Redmi 9
38,20,10,2021,Wednesday,Samsung,8,30269.02,Ludhiana,Credit Card,5,Galaxy Note 20
39,20,10,2021,Wednesday,OnePlus,8,33285.92,Delhi,Debit Card,5,OnePlus 8T
40,21,10,2021,Thursday,OnePlus,2,24537.6,Delhi,UPI,5,OnePlus Nord
41,21,10,2021,Thursday,Apple,7,65469.66,Delhi,UPI,5,iPhone 11
42,21,10,2021,Thursday,Xiaomi,8,41304.59,Mumbai,Debit Card,2,Mi 11
43,22,10,2021,Friday,Apple,8,10804.57,Ludhiana,UPI,5,iPhone SE
44,22,10,2021,Friday,Xiaomi,7,11166.78,Rajkot,Debit Card,5,Mi 11
45,22,10,2021,Friday,Apple,5,68377.7,Chennai,UPI,5,iPhone SE
46,23,10,2021,Saturday,Vivo,1,23287.05,Madurai,Cash,5,Vivo V20
47,23,10,2021,Saturday,Vivo,9,58336.5,Delhi,Credit Card,5,Vivo Y51
48,23,10,2021,Saturday,Vivo,7,13496.52,Bhopal,UPI,5,Vivo S1
49,23,10,2021,Sat,Vivo,2,65269.76,Mumbai,UPI,5,Vivo Y51
50,24,10,2021,Sun,Samsung,6,62465.02,Madurai,UPI,2,Galaxy Note 20
51,24,10,2021,Sun,Vivo,2,44265.59,Ranchi,Debit Card,5,Vivo V20
52,24,10,2021,Sun,OnePlus,1,10539.92,Delhi,UPI,5,OnePlus Nord
53,25,10,2021,Mon,OnePlus,7,25468.65,Lucknow,Debit Card,5,OnePlus 9
54,25,10,2021,Monday,Samsung,2,34409.36,Bhopal,UPI,2,Galaxy Note 20
55,25,10,2021,Monday,Vivo,2,37603.85,Mumbai,Cash,2,Vivo Y51
56,25,10,2021,Monday,Vivo,5,27860.73,Delhi,Cash,5,Vivo Y51
57,26,10,2021,Tuesday,Vivo,5,11976.87,Kolkata,Credit Card,5,Vivo S1
58,26,10,2021,Tuesday,Apple,7,45407.64,Delhi,Debit Card,4,iPhone 12
59,26,10,2021,Tue,Xiaomi,1,41449.28,Kanpur,Credit Card,5,Redmi 9
60,26,10,2021,Tue,Apple,8,26980.04,Kanpur,UPI,2,iPhone 11
61,27,10,2021,Wed,Xiaomi,3,12278.56,Mumbai,UPI,4,Redmi Note 10
62,27,10,2021,Wed,Vivo,4,69675.65,Madurai,Cash,5,Vivo Y51
63,27,10,2021,Wed,Vivo,9,38919.17,Gorakhpur,Credit Card,5,Vivo V20
64,27,10,2021,Wed,Apple,4,55360.25,Ludhiana,UPI,4,iPhone SE
65,28,10,2021,Thu,Apple,5,37138.84,Kanpur,UPI,5,iPhone SE
66,28,10,2021,Thu,Xiaomi,7,12590.22,Ludhiana,Debit Card,4,Redmi 9
67,28,10,2021,Thu,OnePlus,4,28576.04,Indore,UPI,5,OnePlus Nord
68,29,10,2021,Fri,Xiaomi,1,29206.61,Kanpur,Credit Card,5,Redmi 9
69,29,10,2021,Fri,Apple,9,60301.17,Chennai,Cash,5,iPhone 12
70,29,10,2021,Friday,Apple,4,49253.8,Delhi,Cash,5,iPhone 12
71,29,10,2021,Friday,Samsung,9,26525.79,Ranchi,UPI,3,Galaxy Note 20
72,30,10,2021,Saturday,Apple,6,68064.4,Patna,UPI,4,iPhone 12
73,30,10,2021,Saturday,Samsung,1,29292.51,Delhi,UPI,5,Galaxy Note 20
74,30,10,2021,Saturday,OnePlus,3,69894.04,Delhi,Debit Card,4,OnePlus Nord
75,31,10,2021,Sunday,Xiaomi,2,69769.82,Mumbai,UPI,3,Redmi Note 10
76,31,10,2021,Sunday,Xiaomi,9,21472.63,Mumbai,UPI,5,Redmi Note 10
77,31,10,2021,Sunday,Samsung,1,28764.47,Mumbai,Debit Card,3,Galaxy A51
78,31,10,2021,Sunday,Xiaomi,9,39162.65,Chennai,Credit Card,2,Redmi 9
79,1,11,2021,Monday,Apple,9,49846.04,Lucknow,Debit Card,3,iPhone SE
80,1,11,2021,Monday,Vivo,8,41682.85,Chennai,Cash,5,Vivo Y51
81,1,11,2021,Monday,Samsung,8,68166.49,Gorakhpur,Debit Card,5,Galaxy Note 20
82,1,11,2021,Monday,Xiaomi,1,53439.35,Bhopal,Debit Card,5,Redmi Note 10
83,2,11,2021,Tuesday,Samsung,8,22722.69,Delhi,Credit Card,4,Galaxy A51
84,2,11,2021,Tuesday,Samsung,3,16305.85,Delhi,Credit Card,2,Galaxy S21
85,2,11,2021,Tuesday,Vivo,7,51304.08,Delhi,UPI,4,Vivo S1
86,2,11,2021,Tuesday,Apple,1,19507.15,Bangalore,Debit Card,5,iPhone SE
87,3,11,2021,Wednesday,Samsung,1,57260.61,Patna,Credit Card,5,Galaxy A51
88,3,11,2021,Wednesday,Xiaomi,5,28662.2,Delhi,Cash,3,Redmi 9
89,3,11,2021,Wednesday,OnePlus,5,29613.6,Delhi,UPI,5,OnePlus Nord
90,3,11,2021,Wednesday,Samsung,8,10647.9,Delhi,Debit Card,5,Galaxy Note 20
91,4,11,2021,Thursday,Samsung,7,52060.68,Jodhpur,Cash,5,Galaxy S21
92,4,11,2021,Thursday,Vivo,8,16796.19,Bangalore,Credit Card,5,Vivo S1
93,4,11,2021,Thursday,Apple,6,56372.83,Indore,UPI,3,iPhone 11
94,4,11,2021,Thursday,OnePlus,6,39512.07,Mumbai,Cash,4,OnePlus 8T
95,5,11,2021,Friday,Xiaomi,2,57056.79,Mumbai,Debit Card,2,Redmi 9
96,5,11,2021,Friday,OnePlus,6,45035.59,Ranchi,Cash,4,OnePlus Nord
97,5,11,2021,Friday,Xiaomi,5,14946,Madurai,UPI,3,Mi 11
98,5,11,2021,Friday,Apple,3,55939.14,Hyderabad,Debit Card,5,iPhone SE
99,6,11,2021,Saturday,Xiaomi,6,14187.97,Patna,Debit Card,4,Mi 11
100,6,11,2021,Saturday,Vivo,8,38722.1,Gorakhpur,Cash,2,Vivo S1
101,6,11,2021,Saturday,Vivo,9,20340.95,Indore,UPI,3,Vivo Y51
102,6,11,2021,Saturday,Vivo,1,55140.11,Ludhiana,Debit Card,5,Vivo S1
103,7,11,2021,Sunday,Vivo,3,64695.47,Vadodara,UPI,3,Vivo Y51
104,7,11,2021,Sunday,OnePlus,3,43247.57,Gorakhpur,Credit Card,5,OnePlus 9
105,7,11,2021,Sunday,Apple,8,41628.84,Ranchi,Cash,2,iPhone SE
106,7,11,2021,Sunday,Xiaomi,1,55837.79,Mumbai,UPI,3,Redmi 9
107,8,11,2021,Monday,Xiaomi,5,10304.73,Indore,Credit Card,5,Mi 11
108,8,11,2021,Monday,Vivo,3,65065.52,Delhi,Credit Card,5,Vivo S1
109,8,11,2021,Monday,Vivo,2,21846.93,Rajkot,UPI,3,Vivo V20
110,9,11,2021,Tuesday,Samsung,8,69047.13,Gorakhpur,UPI,5,Galaxy S21
111,9,11,2021,Tuesday,Apple,3,54175.24,Bhopal,Cash,3,iPhone 11
112,9,11,2021,Tuesday,OnePlus,7,56455.07,Gorakhpur,Cash,5,OnePlus 8T
113,10,11,2021,Wednesday,Xiaomi,1,49372.18,Delhi,Debit Card,3,Redmi 9
114,10,11,2021,Wednesday,Samsung,6,38299.79,Kanpur,Cash,5,Galaxy Note 20
115,10,11,2021,Wednesday,Samsung,3,44297.66,Mumbai,UPI,4,Galaxy S21
116,10,11,2021,Wednesday,Xiaomi,8,12784.17,Delhi,Debit Card,3,Redmi Note 10
117,11,11,2021,Thursday,OnePlus,6,47437.57,Delhi,Credit Card,5,OnePlus Nord
118,11,11,2021,Thursday,Samsung,2,47565.89,Delhi,Credit Card,3,Galaxy S21
119,11,11,2021,Thursday,Samsung,6,63472.05,Gorakhpur,UPI,5,Galaxy Note 20
120,11,11,2021,Thursday,Apple,7,40339.38,Chennai,Debit Card,2,iPhone SE
121,12,11,2021,Friday,OnePlus,5,14628.66,Kolkata,Debit Card,3,OnePlus Nord
122,12,11,2021,Friday,Samsung,3,28371.76,Hyderabad,Cash,5,Galaxy A51
123,12,11,2021,Friday,OnePlus,4,49337.76,Mumbai,Credit Card,5,OnePlus 8T
124,12,11,2021,Friday,Xiaomi,4,24355.53,Delhi,Credit Card,2,Redmi 9
125,13,11,2021,Saturday,Vivo,6,26831.67,Delhi,Cash,3,Vivo S1
126,13,11,2021,Saturday,Samsung,1,59228.14,Rajkot,Credit Card,4,Galaxy S21
127,13,11,2021,Saturday,Apple,4,45059.18,Delhi,Cash,5,iPhone 12
128,14,11,2021,Sunday,Xiaomi,4,40511.65,Madurai,Credit Card,5,Redmi 9
129,14,11,2021,Sunday,OnePlus,1,29107.12,Rajkot,Credit Card,5,OnePlus 8T
130,14,11,2021,Sunday,Xiaomi,9,53855.68,Chennai,Credit Card,5,Mi 11
131,14,11,2021,Sunday,Samsung,4,27263.11,Jodhpur,Cash,3,Galaxy Note 20
132,15,11,2021,Monday,OnePlus,7,54223.81,Ranchi,Credit Card,5,OnePlus 8T
133,15,11,2021,Monday,Vivo,3,14206.09,Coimbatore,Credit Card,3,Vivo V20
134,15,11,2021,Monday,Xiaomi,3,61872.48,Mumbai,Debit Card,4,Mi 11
135,16,11,2021,Tuesday,Samsung,8,39973.99,Mumbai,Credit Card,3,Galaxy Note 20
136,16,11,2021,Tuesday,Apple,8,36310.48,Delhi,UPI,3,iPhone SE
137,16,11,2021,Tuesday,OnePlus,1,46661.4,Bangalore,Credit Card,3,OnePlus 8T
138,17,11,2021,Wednesday,Xiaomi,2,47451.52,Delhi,Credit Card,5,Mi 11
139,17,11,2021,Wednesday,Xiaomi,8,17922.11,Mumbai,Debit Card,2,Mi 11
140,17,11,2021,Wednesday,Vivo,1,55374.02,Mumbai,Debit Card,5,Vivo Y51
141,18,11,2021,Thursday,Vivo,8,26555.7,Lucknow,Cash,5,Vivo V20
142,18,11,2021,Thursday,Apple,8,64297.71,Patna,Cash,5,iPhone SE
143,18,11,2021,Thursday,Apple,2,59071.04,Kolkata,UPI,5,iPhone 12
144,19,11,2021,Friday,Samsung,4,30775.96,Gorakhpur,Debit Card,5,Galaxy A51
145,19,11,2021,Friday,Samsung,6,58464.36,Mumbai,Cash,5,Galaxy A51
146,19,11,2021,Friday,Apple,9,31383.43,Mumbai,Cash,5,iPhone SE
147,20,11,2021,Saturday,Apple,8,16056.86,Indore,Cash,5,iPhone SE
148,20,11,2021,Saturday,OnePlus,8,67713.29,Ludhiana,Debit Card,3,OnePlus 9
149,20,11,2021,Saturday,Vivo,7,49156.12,Delhi,Debit Card,5,Vivo S1
150,20,11,2021,Saturday,Samsung,9,37365.97,Delhi,UPI,4,Galaxy Note 20
151,21,11,2021,Sunday,Vivo,2,33866.4,Ranchi,Debit Card,5,Vivo Y51
152,21,11,2021,Sunday,Vivo,3,29482.32,Coimbatore,Debit Card,5,Vivo S1
153,21,11,2021,Sunday,Apple,8,68886.86,Hyderabad,Debit Card,5,iPhone 11
154,21,11,2021,Sunday,OnePlus,6,18084.84,Delhi,UPI,5,OnePlus 8T
155,22,11,2021,Monday,Xiaomi,9,28888.3,Ludhiana,Credit Card,5,Redmi 9
156,22,11,2021,Monday,OnePlus,4,39129.86,Coimbatore,Credit Card,5,OnePlus Nord
157,22,11,2021,Monday,OnePlus,8,38679.97,Delhi,Cash,5,OnePlus Nord
158,22,11,2021,Monday,Vivo,3,38281.99,Gorakhpur,Credit Card,5,Vivo V20
159,23,11,2021,Tuesday,OnePlus,3,20547.03,Kolkata,Credit Card,3,OnePlus Nord
160,23,11,2021,Tuesday,Samsung,8,18695.95,Patna,UPI,4,Galaxy A51
161,23,11,2021,Tuesday,Vivo,5,25286.06,Madurai,UPI,5,Vivo V20
162,23,11,2021,Tuesday,Samsung,3,64871.57,Mumbai,Credit Card,5,Galaxy Note 20
163,24,11,2021,Wednesday,Xiaomi,1,16783.18,Mumbai,Credit Card,3,Redmi Note 10
164,24,11,2021,Wednesday,Vivo,3,55445.51,Mumbai,Credit Card,5,Vivo Y51
165,24,11,2021,Wednesday,Xiaomi,9,55452.9,Ludhiana,Cash,5,Redmi Note 10
166,24,11,2021,Wednesday,Vivo,5,58586.22,Delhi,UPI,5,Vivo S1
167,25,11,2021,Thursday,Apple,2,63196.93,Delhi,Credit Card,5,iPhone 12
168,25,11,2021,Thursday,OnePlus,7,25782.17,Mumbai,Debit Card,5,OnePlus Nord
169,25,11,2021,Thursday,Apple,2,23473.57,Lucknow,Credit Card,5,iPhone 11
170,26,11,2021,Friday,Xiaomi,4,37930.34,Vadodara,Debit Card,5,Redmi 9
171,26,11,2021,Friday,OnePlus,7,25905.35,Delhi,Cash,5,OnePlus 9
172,26,11,2021,Friday,Vivo,4,54058.6,Delhi,Debit Card,5,Vivo V20
173,26,11,2021,Friday,OnePlus,7,48156.37,Patna,UPI,5,OnePlus 8T
174,27,11,2021,Saturday,Samsung,7,62499.26,Indore,Cash,5,Galaxy A51
175,27,11,2021,Saturday,OnePlus,1,14964.3,Chennai,Cash,5,OnePlus 8T
176,27,11,2021,Saturday,Samsung,6,64905,Bangalore,Credit Card,5,Galaxy A51
177,27,11,2021,Saturday,OnePlus,9,27600.92,Coimbatore,Cash,3,OnePlus Nord
178,28,11,2021,Sunday,Samsung,2,39441.66,Delhi,Cash,5,Galaxy Note 20
179,28,11,2021,Sunday,Xiaomi,3,36316.69,Mumbai,Debit Card,5,Mi 11
180,28,11,2021,Sunday,Apple,5,55618.7,Delhi,Credit Card,4,iPhone SE
181,29,11,2021,Monday,Vivo,9,35220,Gorakhpur,UPI,5,Vivo Y51
182,29,11,2021,Monday,OnePlus,4,66613.19,Delhi,Credit Card,4,OnePlus Nord
183,29,11,2021,Monday,Apple,1,64152.03,Lucknow,UPI,3,iPhone 11
184,29,11,2021,Monday,Vivo,4,62329.67,Delhi,Debit Card,5,Vivo Y51
185,30,11,2021,Tuesday,Vivo,6,14275.5,Kolkata,Cash,3,Vivo Y51
186,30,11,2021,Tuesday,Samsung,5,61255.48,Patna,Cash,5,Galaxy S21
187,30,11,2021,Tuesday,Xiaomi,1,56898.13,Delhi,Credit Card,5,Mi 11
188,1,12,2021,Wednesday,Xiaomi,4,16210.78,Jodhpur,Credit Card,3,Redmi Note 10
189,1,12,2021,Wednesday,Apple,6,16444.86,Chennai,Credit Card,3,iPhone SE
190,1,12,2021,Wednesday,Xiaomi,4,16069.83,Bangalore,Cash,3,Redmi 9
191,1,12,2021,Wednesday,OnePlus,9,10679.96,Jodhpur,Cash,5,OnePlus 8T
192,2,12,2021,Thursday,Xiaomi,5,42918.06,Delhi,Debit Card,5,Redmi Note 10
193,2,12,2021,Thursday,Apple,8,68403.66,Chennai,UPI,5,iPhone SE
194,2,12,2021,Thursday,Xiaomi,9,36321.08,Jodhpur,Credit Card,5,Redmi Note 10
195,3,12,2021,Friday,OnePlus,5,42445.45,Mumbai,Cash,5,OnePlus 9
196,3,12,2021,Friday,Samsung,6,68078.19,Jodhpur,UPI,5,Galaxy A51
197,3,12,2021,Friday,Apple,1,25310.93,Delhi,Credit Card,3,iPhone 12
198,3,12,2021,Friday,Samsung,7,61508.22,Delhi,Credit Card,4,Galaxy S21
199,4,12,2021,Saturday,Samsung,4,42783.43,Mumbai,UPI,5,Galaxy A51
200,4,12,2021,Saturday,Samsung,2,44168.59,Madurai,UPI,5,Galaxy Note 20
201,4,12,2021,Saturday,Vivo,5,30590.43,Gorakhpur,UPI,5,Vivo Y51
202,4,12,2021,Saturday,Vivo,3,43695.06,Lucknow,Cash,5,Vivo V20
203,5,12,2021,Sunday,Samsung,6,14388.55,Hyderabad,Debit Card,5,Galaxy Note 20
204,5,12,2021,Sunday,Apple,8,55878.61,Bhopal,Credit Card,4,iPhone SE
205,5,12,2021,Sunday,OnePlus,7,27081.27,Delhi,Credit Card,5,OnePlus Nord
206,6,12,2021,Monday,OnePlus,3,63256.5,Mumbai,UPI,5,OnePlus Nord
207,6,12,2021,Monday,Xiaomi,8,32071.04,Rajkot,Cash,5,Redmi Note 10
208,6,12,2021,Monday,Apple,2,18569.45,Delhi,UPI,4,iPhone SE
209,7,12,2021,Tuesday,Vivo,9,51752.89,Delhi,Cash,5,Vivo V20
210,7,12,2021,Tuesday,Samsung,4,19874.69,Ranchi,Debit Card,5,Galaxy S21
211,7,12,2021,Tuesday,Xiaomi,1,55220.83,Ranchi,Credit Card,5,Redmi 9
212,8,12,2021,Wednesday,OnePlus,8,68086.73,Delhi,Credit Card,4,OnePlus Nord
213,8,12,2021,Wednesday,Vivo,7,56773.17,Chennai,Cash,5,Vivo V20
214,8,12,2021,Wednesday,Vivo,5,11346.95,Bhopal,Debit Card,4,Vivo S1
215,9,12,2021,Thursday,Samsung,5,45993.15,Mumbai,Debit Card,3,Galaxy Note 20
216,9,12,2021,Thursday,OnePlus,7,51724.64,Madurai,Credit Card,5,OnePlus 9
217,9,12,2021,Thursday,Apple,5,59527.5,Bangalore,Credit Card,5,iPhone 12
218,10,12,2021,Friday,Vivo,8,13360.14,Delhi,UPI,5,Vivo S1
219,10,12,2021,Friday,Samsung,6,38806.47,Jodhpur,Cash,4,Galaxy A51
220,10,12,2021,Friday,Apple,5,42122.25,Jodhpur,Credit Card,4,iPhone 12
221,11,12,2021,Saturday,OnePlus,9,20147.49,Chennai,Debit Card,4,OnePlus 9
222,11,12,2021,Saturday,Vivo,2,29346.99,Ranchi,Debit Card,5,Vivo V20
223,11,12,2021,Saturday,Apple,1,36413.3,Gorakhpur,Credit Card,5,iPhone SE
224,12,12,2021,Sunday,Apple,8,59992.58,Ludhiana,Debit Card,5,iPhone 12
225,12,12,2021,Sunday,Apple,3,65764.45,Delhi,Cash,5,iPhone 11
226,12,12,2021,Sunday,Vivo,7,47705.37,Bangalore,Debit Card,4,Vivo Y51
227,13,12,2021,Monday,Vivo,8,33696.71,Delhi,Debit Card,3,Vivo S1
228,13,12,2021,Monday,Xiaomi,6,25241.86,Delhi,Credit Card,5,Redmi Note 10
229,13,12,2021,Monday,OnePlus,9,68928.11,Delhi,Cash,4,OnePlus 9
230,13,12,2021,Monday,Samsung,7,68981.2,Jodhpur,Cash,5,Galaxy Note 20
231,14,12,2021,Tuesday,Apple,5,65498.62,Indore,UPI,4,iPhone 12
232,14,12,2021,Tuesday,Xiaomi,8,57140.15,Delhi,Cash,5,Redmi 9
233,14,12,2021,Tuesday,Samsung,2,29546.77,Delhi,UPI,5,Galaxy A51
234,14,12,2021,Tuesday,Xiaomi,7,59020.03,Delhi,Credit Card,5,Redmi 9
235,15,12,2021,Wednesday,Vivo,4,34527.58,Ranchi,Debit Card,5,Vivo V20
236,15,12,2021,Wednesday,Apple,9,29606.39,Mumbai,Cash,5,iPhone 12
237,15,12,2021,Wednesday,Samsung,1,54691.92,Ludhiana,UPI,5,Galaxy Note 20
238,16,12,2021,Thursday,Samsung,7,14779.24,Patna,Cash,5,Galaxy Note 20
239,16,12,2021,Thursday,Samsung,6,12913.76,Delhi,Credit Card,3,Galaxy A51
240,16,12,2021,Thursday,Samsung,8,36877.22,Delhi,UPI,5,Galaxy S21
241,16,12,2021,Thursday,Samsung,5,36738.33,Delhi,UPI,5,Galaxy S21
242,17,12,2021,Friday,Xiaomi,1,63738.65,Mumbai,UPI,5,Redmi 9
243,17,12,2021,Friday,Apple,1,17569.19,Patna,Credit Card,4,iPhone SE
244,17,12,2021,Friday,Vivo,9,17397.04,Kanpur,UPI,5,Vivo Y51
245,17,12,2021,Friday,Vivo,6,18847.16,Kanpur,Debit Card,5,Vivo Y51
246,18,12,2021,Saturday,Vivo,5,11784.18,Delhi,Credit Card,3,Vivo S1
247,18,12,2021,Saturday,Vivo,1,14303.9,Mumbai,Debit Card,5,Vivo V20
248,18,12,2021,Saturday,Xiaomi,6,49592.19,Delhi,Debit Card,4,Mi 11
249,18,12,2021,Saturday,OnePlus,6,35895.06,Bangalore,Credit Card,5,OnePlus Nord
250,19,12,2021,Sunday,Apple,3,55816.18,Bhopal,Cash,5,iPhone 12
251,19,12,2021,Sunday,Samsung,8,69555.86,Kanpur,Debit Card,5,Galaxy A51
252,19,12,2021,Sunday,OnePlus,1,49542.08,Gorakhpur,Credit Card,5,OnePlus 9
253,19,12,2021,Sunday,Vivo,1,13027.33,Coimbatore,Debit Card,4,Vivo Y51
254,20,12,2021,Monday,OnePlus,6,16273.77,Delhi,UPI,5,OnePlus 9
255,20,12,2021,Monday,Apple,1,62860.25,Ranchi,Debit Card,5,iPhone 12
256,20,12,2021,Monday,Samsung,6,41649.76,Kolkata,Debit Card,5,Galaxy A51
257,21,12,2021,Tuesday,Samsung,1,59490.23,Delhi,Debit Card,5,Galaxy S21
258,21,12,2021,Tuesday,Apple,6,61396.74,Mumbai,UPI,5,iPhone 11
259,21,12,2021,Tuesday,Apple,3,65660.47,Kanpur,Debit Card,4,iPhone SE
260,21,12,2021,Tuesday,Vivo,8,66989.75,Bhopal,Credit Card,5,Vivo S1
261,22,12,2021,Wednesday,Samsung,6,43289.55,Delhi,Debit Card,5,Galaxy A51
262,22,12,2021,Wednesday,OnePlus,1,30461.21,Mumbai,Credit Card,4,OnePlus Nord
263,22,12,2021,Wednesday,Xiaomi,5,67711.89,Mumbai,Debit Card,4,Redmi 9
264,23,12,2021,Thursday,Xiaomi,8,42844.38,Delhi,Debit Card,4,Redmi 9
265,23,12,2021,Thursday,Apple,3,13855.16,Indore,Debit Card,5,iPhone SE
266,23,12,2021,Thursday,Vivo,6,48566.59,Delhi,Cash,4,Vivo Y51
267,23,12,2021,Thursday,Xiaomi,5,45261.09,Kolkata,Cash,3,Mi 11
268,24,12,2021,Friday,Samsung,6,63747.57,Ludhiana,UPI,5,Galaxy A51
269,24,12,2021,Friday,Apple,1,49191.23,Kanpur,Credit Card,4,iPhone 12
270,24,12,2021,Friday,OnePlus,7,30943.15,Mumbai,UPI,2,OnePlus Nord
271,24,12,2021,Friday,Apple,9,67973.54,Coimbatore,Credit Card,3,iPhone SE
272,25,12,2021,Saturday,OnePlus,2,58097.17,Kanpur,UPI,2,OnePlus Nord
273,25,12,2021,Saturday,Apple,5,47825.06,Mumbai,UPI,5,iPhone 12
274,25,12,2021,Saturday,Apple,4,27575.51,Vadodara,Debit Card,5,iPhone 11
275,25,12,2021,Saturday,Apple,6,32412.42,Delhi,Debit Card,5,iPhone 12
276,26,12,2021,Sunday,OnePlus,6,50198.2,Patna,Debit Card,5,OnePlus 9
277,26,12,2021,Sunday,OnePlus,2,14318.85,Delhi,Debit Card,5,OnePlus 9
278,26,12,2021,Sunday,Apple,2,25400.84,Delhi,Debit Card,5,iPhone 12
279,27,12,2021,Monday,Xiaomi,4,52834.06,Delhi,UPI,3,Redmi 9
280,27,12,2021,Monday,Vivo,1,38801.11,Kanpur,Credit Card,5,Vivo Y51
281,27,12,2021,Monday,Vivo,9,34143.61,Mumbai,Cash,3,Vivo V20
282,27,12,2021,Monday,Vivo,7,19087.46,Kanpur,Cash,4,Vivo Y51
283,28,12,2021,Tuesday,OnePlus,7,36510.94,Chennai,Credit Card,3,OnePlus Nord
284,28,12,2021,Tuesday,OnePlus,3,56241.52,Lucknow,Cash,5,OnePlus Nord
285,28,12,2021,Tuesday,Xiaomi,3,25840.77,Delhi,UPI,5,Mi 11
286,29,12,2021,Wednesday,Vivo,1,10323.91,Bangalore,Credit Card,3,Vivo S1
287,29,12,2021,Wednesday,Vivo,3,50110.29,Jodhpur,Credit Card,5,Vivo Y51
288,29,12,2021,Wednesday,Apple,3,68357.6,Hyderabad,Cash,3,iPhone 12
289,29,12,2021,Wednesday,OnePlus,4,46409.59,Kanpur,Cash,5,OnePlus Nord
290,30,12,2021,Thursday,Vivo,4,17195.31,Delhi,UPI,5,Vivo S1
291,30,12,2021,Thursday,Xiaomi,3,29243.99,Mumbai,Debit Card,3,Mi 11
292,30,12,2021,Thursday,Xiaomi,8,62058.5,Gorakhpur,Credit Card,5,Redmi 9
293,31,12,2021,Friday,Vivo,8,23954.08,Vadodara,Debit Card,5,Vivo V20
294,31,12,2021,Friday,OnePlus,1,46461.75,Bangalore,Cash,5,OnePlus Nord
295,31,12,2021,Friday,Xiaomi,7,34160.27,Kanpur,Credit Card,5,Redmi 9
